G2.L2TV,G2.CPD,G2.TNL,G2.TTXD1_9
1.0,78.6880722,88.64394379,857.0814209
1.0,78.30673218,88.55474854,855.4035645
1.0,78.81049347,88.72444153,857.3115234
1.0,78.45792389,88.59443665,855.5897827
1.0,78.73132324,88.86190033,857.8858643
1.0,79.10547638,89.03247833,858.9107056
1.0,78.61618042,88.8327179,856.0223389
1.0,78.87528992,88.93079376,856.4182739
1.0,79.4003067,89.10749817,859.7208252
1.0,78.78889465,88.9190979,855.7805176
1.0,78.50109863,88.90155792,855.5513306
1.0,78.24199677,88.8241272,853.4022827
1.0,78.45061493,88.92986298,854.8016357
1.0,79.00470734,89.01088715,856.2386475
1.0,78.75286865,88.99824524,855.093689
